company_name,ticker,esg_score,risk_level,page_number
Aguas Andinas SA,SGO:AGUAS.A,24.4,Medium ESG Risk,32
AGV Products Corp.,TAI:1217,35.3,High ESG Risk,32
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,IST:AHGAZ.E,45.6,Severe ESG Risk,32
Ahli Bank QPSC,DSMD:ABQK,35.1,High ESG Risk,33
Ahli United Bank,-,25.8,Medium ESG Risk,33
Ahluwalia Contracts (India) Ltd.,BOM:532811,40.8,Severe ESG Risk,33
"Ahnlab, Inc.",KRX:053800,25.5,Medium ESG Risk,33
Ai Holdings Corp.,TKS:3076,15.4,Low ESG Risk,33
AIA Engineering Ltd.,BOM:532683,26,Medium ESG Risk,33
AIA Group Ltd.,HKG:1299,14.3,Low ESG Risk,33
AIB Group plc,DUB:A5G,11.4,Low ESG Risk,33
"Aica Kogyo Co., Ltd.",TKS:4206,26.9,Medium ESG Risk,33
Aichi Corp.,TKS:6345,29.4,Medium ESG Risk,33
"Aichi Financial Group, Inc.",TKS:7389,29.6,Medium ESG Risk,34
Aichi Steel Corp.,TKS:5482,37.5,High ESG Risk,34
Aida Engineering Ltd.,TKS:6118,30.8,High ESG Risk,34
"Aier Eye Hospital Group Co., Ltd.",SHE:300015,29.4,Medium ESG Risk,34
AIFUL Corp.,TKS:8515,29.5,Medium ESG Risk,34
"AIM Vaccine Co., Ltd.",HKG:6660,27.5,Medium ESG Risk,34
"AIMA Technology Group Co., Ltd.",SHG:603529,13,Low ESG Risk,34
AIMCo Realty Investors LP,-,28.5,Medium ESG Risk,34
AIMECHATEC Ltd.,TKS:6227,23.2,Medium ESG Risk,34
AIMS APAC REIT,SES:O5RU,12.4,Low ESG Risk,34
"Ain Holdings, Inc.",TKS:9627,20.7,Medium ESG Risk,35
"Aiphone Co., Ltd.",TKS:6718,18.7,Low ESG Risk,35
Air Arabia PJSC,DFM:AIRARABIA,35.8,High ESG Risk,35
Air Canada,TSE:AC,25.5,Medium ESG Risk,35
Air China Ltd.,HKG:753,28.6,Medium ESG Risk,35
Air France-KLM SA,PAR:AF,24.2,Medium ESG Risk,35
Air Lease Corp.,NYS:AL,13.4,Low ESG Risk,35
Air Liquide SA,PAR:AI,13.2,Low ESG Risk,35
Air New Zealand Ltd.,NZE:AIR,29.8,Medium ESG Risk,35
"Air Products & Chemicals, Inc.",NYS:APD,14.8,Low ESG Risk,35
"Air Transport Services Group, Inc.",NAS:ATSG,23.6,Medium ESG Risk,36
"Air Water, Inc.",TKS:4088,22.6,Medium ESG Risk,36
"Airbnb, Inc.",NAS:ABNB,23.7,Medium ESG Risk,36
Airbus SE,PAR:AIR,23.7,Medium ESG Risk,36
