company_name,ticker,esg_score,risk_level,page_number,exchange,clean_ticker,risk_category
Dingdong (Cayman) Ltd.,NYS:DDL,32.7,High ESG Risk,349,NYS,DDL,High Risk
"Diodes, Inc.",NAS:DIOD,23.1,Medium ESG Risk,349,NAS,DIOD,Medium Risk
"Disc Medicine, Inc.",NAS:IRON,30.1,High ESG Risk,350,NAS,IRON,High Risk
Discover Financial Services,NYS:DFS,22.8,Medium ESG Risk,350,NYS,DFS,Medium Risk
"Distribution Solutions Group, Inc.",NAS:DSGR,24.6,Medium ESG Risk,350,NAS,DSGR,Medium Risk
Diversified Healthcare Trust,NAS:DHC,16.3,Low ESG Risk,351,NAS,DHC,Low Risk
DLocal Ltd.,NAS:DLO,22.2,Medium ESG Risk,352,NAS,DLO,Medium Risk
"DMC Global, Inc.",NAS:BOOM,29.6,Medium ESG Risk,352,NAS,BOOM,Medium Risk
"DNOW, Inc.",NYS:DNOW,18.5,Low ESG Risk,353,NYS,DNOW,Low Risk
"DocGo, Inc.",NAS:DCGO,24.1,Medium ESG Risk,353,NAS,DCGO,Medium Risk
"DocuSign, Inc.",NAS:DOCU,17.0,Low ESG Risk,353,NAS,DOCU,Low Risk
"Dolby Laboratories, Inc.",NYS:DLB,11.9,Low ESG Risk,354,NYS,DLB,Low Risk
Dole Plc,NYS:DOLE,19.0,Low ESG Risk,354,NYS,DOLE,Low Risk
Dollar General Corp.,NYS:DG,21.2,Medium ESG Risk,354,NYS,DG,Medium Risk
"Dollar Tree, Inc.",NAS:DLTR,18.8,Low ESG Risk,354,NAS,DLTR,Low Risk
"Dominion Energy, Inc.",NYS:D,28.6,Medium ESG Risk,355,NYS,D,Medium Risk
"Domino's Pizza, Inc.",NYS:DPZ,27.5,Medium ESG Risk,355,NYS,DPZ,Medium Risk
"Domo, Inc.",NAS:DOMO,23.6,Medium ESG Risk,355,NAS,DOMO,Medium Risk
"Donaldson Co., Inc.",NYS:DCI,29.3,Medium ESG Risk,355,NYS,DCI,Medium Risk
"Donegal Group, Inc.",NAS:DGICA,31.8,High ESG Risk,355,NAS,DGICA,High Risk
"Donnelley Financial Solutions, Inc.",NYS:DFIN,19.6,Low ESG Risk,357,NYS,DFIN,Low Risk
"DoorDash, Inc.",NAS:DASH,21.9,Medium ESG Risk,357,NAS,DASH,Medium Risk
Dorian LPG Ltd.,NYS:LPG,34.7,High ESG Risk,358,NYS,LPG,High Risk
"Dorman Products, Inc.",NAS:DORM,15.9,Low ESG Risk,358,NAS,DORM,Low Risk
"DoubleVerify Holdings, Inc.",NYS:DV,18.4,Low ESG Risk,359,NYS,DV,Low Risk
"Douglas Dynamics, Inc.",NYS:PLOW,28.5,Medium ESG Risk,359,NYS,PLOW,Medium Risk
"Douglas Elliman, Inc.",NYS:DOUG,23.1,Medium ESG Risk,359,NYS,DOUG,Medium Risk
"Douglas Emmett, Inc.",NYS:DEI,22.7,Medium ESG Risk,359,NYS,DEI,Medium Risk
Dover Corp.,NYS:DOV,24.5,Medium ESG Risk,360,NYS,DOV,Medium Risk
"Dow, Inc.",NYS:DOW,19.6,Low ESG Risk,360,NYS,DOW,Low Risk
"Doximity, Inc.",NYS:DOCS,20.9,Medium ESG Risk,360,NYS,DOCS,Medium Risk
"DraftKings, Inc.",NAS:DKNG,34.7,High ESG Risk,361,NAS,DKNG,High Risk
Dragonfly Energy Holdings Corp.,NAS:DFLI,26.7,Medium ESG Risk,361,NAS,DFLI,Medium Risk
"Dream Finders Homes, Inc.",NYS:DFH,21.9,Medium ESG Risk,362,NYS,DFH,Medium Risk
"Driven Brands Holdings, Inc.",NAS:DRVN,17.9,Low ESG Risk,362,NAS,DRVN,Low Risk
"Dropbox, Inc.",NAS:DBX,18.8,Low ESG Risk,362,NAS,DBX,Low Risk
"DT Midstream, Inc.",NYS:DTM,28.9,Medium ESG Risk,363,NYS,DTM,Medium Risk
DTE Energy Co.,NYS:DTE,31.3,High ESG Risk,363,NYS,DTE,High Risk
"Ducommun, Inc.",NYS:DCO,37.5,High ESG Risk,364,NYS,DCO,High Risk
Duke Energy Corp.,NYS:DUK,26.8,Medium ESG Risk,364,NYS,DUK,Medium Risk
"Duluth Holdings, Inc.",NAS:DLTH,25.8,Medium ESG Risk,365,NAS,DLTH,Medium Risk
"Dun & Bradstreet Holdings, Inc.",NYS:DNB,18.2,Low ESG Risk,365,NYS,DNB,Low Risk
"Duolingo, Inc.",NAS:DUOL,27.0,Medium ESG Risk,365,NAS,DUOL,Medium Risk
"DuPont de Nemours, Inc.",NYS:DD,26.5,Medium ESG Risk,365,NYS,DD,Medium Risk
"Dutch Bros, Inc.",NYS:BROS,38.9,High ESG Risk,366,NYS,BROS,High Risk
DXC Technology Co.,NYS:DXC,15.3,Low ESG Risk,366,NYS,DXC,Low Risk
"DXP Enterprises, Inc.",NAS:DXPE,25.1,Medium ESG Risk,366,NAS,DXPE,Medium Risk
"Dycom Industries, Inc.",NYS:DY,40.3,Severe ESG Risk,366,NYS,DY,High Risk
"Dynatrace, Inc.",NYS:DT,15.0,Low ESG Risk,367,NYS,DT,Low Risk
Dynavax Technologies Corp.,NAS:DVAX,27.7,Medium ESG Risk,367,NAS,DVAX,Medium Risk
"Dyne Therapeutics, Inc.",NAS:DYN,26.0,Medium ESG Risk,367,NAS,DYN,Medium Risk
"Dynex Capital, Inc.",NYS:DX,15.8,Low ESG Risk,367,NYS,DX,Low Risk
"e.l.f. Beauty, Inc.",NYS:ELF,21.5,Medium ESG Risk,368,NYS,ELF,Medium Risk
"E2open Parent Holdings, Inc.",NYS:ETWO,14.1,Low ESG Risk,369,NYS,ETWO,Low Risk
"Eagle Bancorp, Inc. (Maryland)",NAS:EGBN,29.0,Medium ESG Risk,369,NAS,EGBN,Medium Risk
"Eagle Materials, Inc.",NYS:EXP,36.0,High ESG Risk,369,NYS,EXP,High Risk
"East West Bancorp, Inc.",NAS:EWBC,25.9,Medium ESG Risk,370,NAS,EWBC,Medium Risk
"Easterly Government Properties, Inc.",NYS:DEA,15.8,Low ESG Risk,370,NYS,DEA,Low Risk
"Eastern Bankshares, Inc.",NAS:EBC,30.6,High ESG Risk,371,NAS,EBC,High Risk
"EastGroup Properties, Inc.",NYS:EGP,12.8,Low ESG Risk,371,NYS,EGP,Low Risk
Eastman Chemical Co.,NYS:EMN,24.6,Medium ESG Risk,371,NYS,EMN,Medium Risk
Eastman Kodak Co.,NYS:KODK,23.0,Medium ESG Risk,371,NYS,KODK,Medium Risk
Eaton Corp. Plc,NYS:ETN,20.4,Medium ESG Risk,372,NYS,ETN,Medium Risk
"eBay, Inc.",NAS:EBAY,15.4,Low ESG Risk,372,NAS,EBAY,Low Risk
EchoStar Corp.,NAS:SATS,27.8,Medium ESG Risk,373,NAS,SATS,Medium Risk
"Ecolab, Inc.",NYS:ECL,23.9,Medium ESG Risk,374,NYS,ECL,Medium Risk
"Ecovyst, Inc.",NYS:ECVT,31.4,High ESG Risk,375,NYS,ECVT,High Risk
Edgewell Personal Care Co.,NYS:EPC,25.2,Medium ESG Risk,375,NYS,EPC,Medium Risk
"Edgewise Therapeutics, Inc.",NAS:EWTX,28.5,Medium ESG Risk,375,NAS,EWTX,Medium Risk
Edison International,NYS:EIX,24.0,Medium ESG Risk,376,NYS,EIX,Medium Risk
"Editas Medicine, Inc.",NAS:EDIT,25.2,Medium ESG Risk,376,NAS,EDIT,Medium Risk
Edwards Lifesciences Corp.,NYS:EW,21.7,Medium ESG Risk,376,NYS,EW,Medium Risk
eGain Corp.,NAS:EGAN,23.3,Medium ESG Risk,377,NAS,EGAN,Medium Risk
EHang Holdings Ltd.,NAS:EH,19.4,Low ESG Risk,378,NAS,EH,Low Risk
"eHealth, Inc.",NAS:EHTH,18.3,Low ESG Risk,378,NAS,EHTH,Low Risk
"El Pollo Loco Holdings, Inc.",NAS:LOCO,29.7,Medium ESG Risk,379,NAS,LOCO,Medium Risk
"Elanco Animal Health, Inc.",NYS:ELAN,18.6,Low ESG Risk,380,NYS,ELAN,Low Risk
Elastic NV,NYS:ESTC,15.9,Low ESG Risk,380,NYS,ESTC,Low Risk
"Electronic Arts, Inc.",NAS:EA,13.2,Low ESG Risk,381,NAS,EA,Low Risk
"Element Solutions, Inc.",NYS:ESI,23.4,Medium ESG Risk,382,NYS,ESI,Medium Risk
"Elevance Health, Inc.",NYS:ELV,10.0,Negligible ESG Risk,382,NYS,ELV,Low Risk
Eli Lilly & Co.,NYS:LLY,23.6,Medium ESG Risk,383,NYS,LLY,Medium Risk
"Ellington Financial, Inc.",NYS:EFC,17.0,Low ESG Risk,384,NYS,EFC,Low Risk
Elme Communities,NYS:ELME,9.8,Negligible ESG Risk,384,NYS,ELME,Low Risk
Embecta Corp.,NAS:EMBC,22.2,Medium ESG Risk,386,NAS,EMBC,Medium Risk
"EMCOR Group, Inc.",NYS:EME,33.1,High ESG Risk,386,NYS,EME,High Risk
"Emerald Expositions Events, Inc.",NYS:EEX,18.1,Low ESG Risk,387,NYS,EEX,Low Risk
"Emergent BioSolutions, Inc.",NYS:EBS,21.7,Medium ESG Risk,387,NYS,EBS,Medium Risk
Emerson Electric Co.,NYS:EMR,22.8,Medium ESG Risk,387,NYS,EMR,Medium Risk
"Empire State Realty Trust, Inc.",NYS:ESRT,12.6,Low ESG Risk,388,NYS,ESRT,Low Risk
"Employers Holdings, Inc.",NYS:EIG,30.3,High ESG Risk,389,NYS,EIG,High Risk
"Enact Holdings, Inc.",NAS:ACT,22.5,Medium ESG Risk,390,NAS,ACT,Medium Risk
"Enanta Pharmaceuticals, Inc.",NAS:ENTA,24.9,Medium ESG Risk,390,NAS,ENTA,Medium Risk
Encompass Health Corp.,NYS:EHC,30.6,High ESG Risk,391,NYS,EHC,High Risk
"Encore Capital Group, Inc.",NAS:ECPG,22.6,Medium ESG Risk,391,NAS,ECPG,Medium Risk
Endava Plc,NYS:DAVA,14.2,Low ESG Risk,392,NYS,DAVA,Low Risk
"Endeavor Group Holdings, Inc.",NYS:EDR,27.8,Medium ESG Risk,392,NYS,EDR,Medium Risk
"Energizer Holdings, Inc.",NYS:ENR,20.5,Medium ESG Risk,394,NYS,ENR,Medium Risk
"Energy Recovery, Inc.",NAS:ERII,24.5,Medium ESG Risk,394,NAS,ERII,Medium Risk
Energy Transfer LP,NYS:ET,39.6,High ESG Risk,395,NYS,ET,High Risk
"Energy Vault Holdings, Inc.",NYS:NRGV,27.8,Medium ESG Risk,395,NYS,NRGV,Medium Risk
Enerpac Tool Group Corp.,NYS:EPAC,22.1,Medium ESG Risk,395,NYS,EPAC,Medium Risk
EnerSys,NYS:ENS,25.7,Medium ESG Risk,395,NYS,ENS,Medium Risk
"Enfusion, Inc.",NYS:ENFN,23.1,Medium ESG Risk,396,NYS,ENFN,Medium Risk
"Enhabit, Inc.",NYS:EHAB,33.9,High ESG Risk,397,NYS,EHAB,High Risk
EnLink Midstream LLC,NYS:ENLC,23.7,Medium ESG Risk,397,NYS,ENLC,Medium Risk
"Enliven Therapeutics, Inc.",NAS:ELVN,30.9,High ESG Risk,398,NAS,ELVN,High Risk
"Ennis, Inc.",NYS:EBF,9.4,Negligible ESG Risk,398,NYS,EBF,Low Risk
"Enova International, Inc.",NYS:ENVA,24.1,Medium ESG Risk,398,NYS,ENVA,Medium Risk
Enovis Corp.,NYS:ENOV,31.1,High ESG Risk,398,NYS,ENOV,High Risk
Enovix Corp.,NAS:ENVX,28.0,Medium ESG Risk,398,NAS,ENVX,Medium Risk
"Enphase Energy, Inc.",NAS:ENPH,19.9,Low ESG Risk,399,NAS,ENPH,Low Risk
"Enpro, Inc.",NYS:NPO,30.8,High ESG Risk,399,NYS,NPO,High Risk
Enstar Group Ltd.,NAS:ESGR,22.6,Medium ESG Risk,399,NAS,ESGR,Medium Risk
"Entegris, Inc.",NAS:ENTG,18.7,Low ESG Risk,399,NAS,ENTG,Low Risk
Entergy Corp.,NYS:ETR,24.9,Medium ESG Risk,399,NYS,ETR,Medium Risk
"Enterprise Bancorp, Inc.",NAS:EBTC,30.4,High ESG Risk,400,NAS,EBTC,High Risk
Enterprise Financial Services Corp.,NAS:EFSC,32.6,High ESG Risk,400,NAS,EFSC,High Risk
Enterprise Products Partners LP,NYS:EPD,28.2,Medium ESG Risk,400,NYS,EPD,Medium Risk
"Entrada Therapeutics, Inc.",NAS:TRDA,26.0,Medium ESG Risk,400,NAS,TRDA,Medium Risk
Entravision Communications Corp.,NYS:EVC,18.9,Low ESG Risk,400,NYS,EVC,Low Risk
"Envestnet, Inc.",NYS:ENV,24.5,Medium ESG Risk,400,NYS,ENV,Medium Risk
Enviri Corp.,NYS:NVRI,18.7,Low ESG Risk,401,NYS,NVRI,Low Risk
Envista Holdings Corp.,NYS:NVST,26.9,Medium ESG Risk,401,NYS,NVST,Medium Risk
"EOG Resources, Inc.",NYS:EOG,34.4,High ESG Risk,401,NYS,EOG,High Risk
